,Date,In reality,Link,PolitiFact source,Score,Source,Statement
734,"on Tuesday, April 28th, 2015","Unreported, yes. But Algeria wasn't on terror list",/punditfact/statements/2015/apr/28/joe-scarborough/scarborough-says-algeria-donated-clinton-foundatio/,— PunditFact,False,Joe Scarborough,"Algeria ""wanted to be taken off of the terror list"" at the time it made an unreported donation to the Clinton Foundation."
735,"on Sunday, April 26th, 2015",What's clear is it's not that clear,/punditfact/statements/2015/apr/26/newt-gingrich/newt-gingrich-clinton-foreign-donations-clearly-vi/,— PunditFact,Mostly False,Newt Gingrich,"The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state ""is clearly illegal. … The Constitution says you can’t take this stuff."""
736,"on Sunday, April 26th, 2015",Totaling about $7 million,/punditfact/statements/2015/apr/26/peter-schweizer/fact-checking-clinton-cash-author-claim-about-bill/,— PunditFact,True,Peter Schweizer,"""Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state."""
737,"on Thursday, April 23rd, 2015",It doesn't affect that many farmers,/punditfact/statements/2015/apr/23/bill-maher/bill-maher-says-more-americans-have-been-moon-farm/,— PunditFact,Mostly True,Bill Maher,"""More astronauts have been to the moon than farmers who paid the inheritance tax in 2013."""
738,"on Thursday, April 23rd, 2015",That recession thing was probably important too,/punditfact/statements/2015/apr/23/ed-schultz/msnbcs-schultz-trade-deals-closed-50000-factories/,— PunditFact,Half-True,Ed Schultz,"""America has lost over 50,000 manufacturing factories on other trade deals."""
739,"on Wednesday, April 22nd, 2015",An eat-your-veggies kind of claim,/punditfact/statements/2015/apr/22/gwyneth-paltrow/gwyneth-paltrows-29-weekly-food-stamps-budget-flaw/,— PunditFact,Mostly False,Gwyneth Paltrow,"$29 is what ""families on SNAP (i.e. food stamps) have to live on for a week."""
740,"on Sunday, April 19th, 2015",Democrats claim they were duped,/punditfact/statements/2015/apr/19/karl-rove/karl-rove-and-juan-williams-argue-over-loretta-lyn/,— PunditFact,Mostly True,Karl Rove,"The Hyde Amendment ""language was in the (human trafficking) bill. The Democratic sponsor admits it was in the bill, and she voted for it."""
741,"on Thursday, April 16th, 2015","You can do it, but it can create a headache",/punditfact/statements/2015/apr/16/lawrence-odonnell/president-vice-president-same-state-allowed/,— PunditFact,False,Lawrence O'Donnell,"""The president and vice president can't be from the same state."""
742,"on Wednesday, April 15th, 2015",Don't always trust Wikipedia,/punditfact/statements/2015/apr/15/addicting-information/liberal-blog-us-cops-killed-more-people-one-month-/,— PunditFact,False,Addicting Information,"""U.S. police killed more people in just one month than the U.K.’s did in over a century."""
743,"on Tuesday, April 14th, 2015","Right on Paul's shift, wrong about a bill",/punditfact/statements/2015/apr/14/kirsten-powers/powers-paul-denied-he-put-forward-bill-cut-aid-isr/,— PunditFact,Half-True,Kirsten Powers,"Says Rand Paul denied that he ""put forward a bill ... to zero out foreign aid and specifically spoke about Israel."""
744,"on Sunday, April 12th, 2015",An exaggeration coupled with fuzzy words,/punditfact/statements/2015/apr/12/mitt-romney/mitt-romney-said-hillary-clinton-deleted-emails-we/,— PunditFact,Mostly False,Mitt Romney,"Says Hillary Clinton ""erased all of her emails even though they were subject to recall and review by Congress."""
745,"on Thursday, April 9th, 2015","Possible, but probable?",/punditfact/statements/2015/apr/09/edward-snowden/fact-checking-john-olivers-interview-edward-snowde/,— PunditFact,Mostly True,Edward Snowden,"""Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database."""
746,"on Thursday, April 9th, 2015",Not a prayer,/punditfact/statements/2015/apr/09/sean-hannity/hannity-you-cant-build-christian-church-saudi-arab/,— PunditFact,True,Sean Hannity,"""You can’t build a Christian church in Saudi Arabia."""
747,"on Monday, April 6th, 2015",Based on a debunked claim,/punditfact/statements/2015/apr/06/george-will/no-reagan-did-not-oversee-creation-1-million-jobs-/,— PunditFact,Pants on Fire!,George Will,"Says President Ronald Reagan ""had a month of job creation of 1 million."""
748,"on Monday, April 6th, 2015",No state dollars for homeless shelters,/punditfact/statements/2015/apr/06/us-uncut/advocacy-group-compares-gov-pence-jesus-unfavorabl/,— PunditFact,Mostly True,US Uncut,"Says Indiana Gov. Mike Pence ""provides zero state funding for homeless shelters."""
749,"on Thursday, April 2nd, 2015",No boycott talk,/punditfact/statements/2015/apr/02/erick-erickson/redstate-editor-decries-apple-chief-not-doing-busi/,— PunditFact,False,Erick Erickson,"Say Apple’s Tim Cook ""will not do business with Indiana."""
750,"on Thursday, April 2nd, 2015",Stats are off and miss half the story,/punditfact/statements/2015/apr/02/sally-kohn/sally-kohn-white-men-69-percent-arrested-violent/,— PunditFact,False,Sally Kohn,"""White men account for 69 percent of those arrested for violent crimes."""
751,"on Wednesday, April 1st, 2015","Rare, yes. Never? Data disagrees",/punditfact/statements/2015/apr/01/fran-lebowitz/fran-lebowitz-claims-nypd-has-never-shot-unarmed-w/,— PunditFact,False,Fran Lebowitz,"""Not a single unarmed white person has been shot by the police"" in New York in about 45 years."
752,"on Sunday, March 29th, 2015",Missing some context,/punditfact/statements/2015/mar/29/dana-bash/how-many-bills-has-ted-cruz-passed-senate/,— PunditFact,Mostly True,Dana Bash,"""There's just one piece of legislation that is now law"" with Sen. Ted Cruz's ""name on it."""
753,"on Thursday, March 26th, 2015",Funding a student study does not a regulation make,/punditfact/statements/2015/mar/26/allen-west/allen-west-says-obama-epa-wants-regulate-backyard-/,— PunditFact,False,Allen West,"""EPA wants to regulate … the family BBQ."""
754,"on Wednesday, March 25th, 2015",No smoking in the bathrooms either,/punditfact/statements/2015/mar/25/jess-mcintosh/liberty-u-students-faced-fine-if-they-skipped-cruz/,— PunditFact,True,Jess McIntosh,"Liberty University students ""were mandated"" to attend Sen. Ted Cruz’s presidential announcement ""or they would be fined."""
755,"on Wednesday, March 25th, 2015",No paper trail,/punditfact/statements/2015/mar/25/blog-posting/blog-claims-us-funded-anti-netanyahu-election-effo/,— PunditFact,Mostly False,Bloggers,"""Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israel for (the) election."""
756,"on Monday, March 23rd, 2015",A misfire on both targets,/punditfact/statements/2015/mar/23/greg-gutfeld/nyc-mayor-de-blasio-responsible-uptick-murders-and/,— PunditFact,Mostly False,Greg Gutfeld,"Under New York Mayor Bill de Blasio, homicides are up by 20 percent, and subway delays have soared 45 percent."
757,"on Sunday, March 22nd, 2015",The IAEA doesn't have enough access,/punditfact/statements/2015/mar/22/liz-cheney/liz-cheney-obama-iaea-iran-agreement/,— PunditFact,Mostly True,Liz Cheney,"The IAEA, or the International Atomic Energy Agency, ""last month said the Iranians are not currently living up to their obligations."""
758,"on Friday, March 20th, 2015","A point, buried under errors and hyperbole",/punditfact/statements/2015/mar/20/glenn-beck/glenn-beck-says-barack-obama-took-iran-hamas-us-te/,— PunditFact,False,Glenn Beck,"""A few weeks ago Obama took Hamas and Iran OFF the terror list."""
759,"on Wednesday, March 18th, 2015",90% would be closer,/punditfact/statements/2015/mar/18/james-carville/jeb-bush-revealed-much-more-10-his-emails-governor/,— PunditFact,False,James Carville,"Says ""Jeb Bush has released 10 percent of his emails."""
760,"on Wednesday, March 18th, 2015",Lots of criticism when it happened,/punditfact/statements/2015/mar/18/sean-hannity/hannity-unlike-iran-letter-response-no-one-got-ups/,— PunditFact,False,Sean Hannity,"In 2007, when Nancy Pelosi met with President Assad of Syria, ""nobody got upset."""
761,"on Sunday, March 15th, 2015",Update: We all need to use a percent change calculator,/punditfact/statements/2015/mar/15/jalen-ross/black-name-resume-50-percent-less-likely-get-respo/,— PunditFact,Mostly True,Jalen Ross,"""Every day, a black name resume is 50 percent less likely to get responded to than a white name resume."""
762,"on Sunday, March 15th, 2015","More than zero, even allowing for hyperbole",/punditfact/statements/2015/mar/15/juan-williams/media-reaction-george-w-bushs-email-controversy/,— PunditFact,Mostly False,Juan Williams,"There was ""just about zero press coverage"" of the 2007 Bush White House email controversy."
763,"on Friday, March 13th, 2015","No letter, and based on a dodgy memo",/punditfact/statements/2015/mar/13/rush-limbaugh/limbaugh-ted-kennedy-undercut-reagan-back-door-lin/,— PunditFact,False,Rush Limbaugh,"Says ""Ted Kennedy sent a letter to then Soviet leader Yuri Andropov apologizing for Ronald Reagan and begging the Soviets not to overreact."""
764,"on Wednesday, March 11th, 2015",One point in a long list of issues,/punditfact/statements/2015/mar/11/david-shuster/no-email-use-didnt-sink-us-ambassador-kenya/,— PunditFact,Mostly False,David Shuster,"Said former U.S. Ambassador to Kenya Scott Gration ""was forced to resign two years ago because of his personal use of emails."""
765,"on Tuesday, March 10th, 2015","Strong guidance, if not a rule",/punditfact/statements/2015/mar/10/joe-scarborough/scarborough-clinton-told-state-department-staff-no/,— PunditFact,Mostly True,Joe Scarborough,"Says Hillary Clinton ""sent a memo"" to all State Department staff that said ""you should not do State Department business on personal email."""
766,"on Wednesday, March 4th, 2015",Leaves most ammo alone,/punditfact/statements/2015/mar/04/paul-bedard/columnist-obama-presses-gun-control-t/,— PunditFact,Mostly False,Paul Bedard,"Says ""President Obama is using executive actions to impose gun control on the nation, targeting the top-selling rifle in the country ... with a ban on one of the most-used"" assault rifle bullets."
767,"on Wednesday, March 4th, 2015","Happy, happy, happy -- to correct the record",/punditfact/statements/2015/mar/04/phil-robertson/phil-robertson-duck-dynasty-says-110-million-ameri/,— PunditFact,Mostly False,Phil Robertson,"According to the CDC, ""110 million Americans now have a sexually transmitted illness."""
768,"on Tuesday, March 3rd, 2015",A careful choice of words,/punditfact/statements/2015/mar/03/bill-oreilly/oreilly-i-never-said-i-was-falkland-islands/,— PunditFact,Half-True,Bill O'Reilly,"""I never said I was on the Falkland Islands."""
769,"on Thursday, February 26th, 2015","When it comes to praise, once is not often",/punditfact/statements/2015/feb/26/david-corn/mother-jones-reporter-oreilly-often-praised-wor/,— PunditFact,Half-True,David Corn,"Says he ""often"" appeared on The O’Reilly Factor and ""often was praised"" by Bill O'Reilly."
770,"on Wednesday, February 25th, 2015",A genuine irony,/punditfact/statements/2015/feb/25/michael-morell/odd-reality-irans-centrifuges-enough-bomb-not-powe/,— PunditFact,True,Michael Morell,The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.
771,"on Tuesday, February 24th, 2015","More in theory than in practice, at least so far",/punditfact/statements/2015/feb/24/jonah-goldberg/did-aca-give-elevated-legitimacy-alternative-medic/,— PunditFact,Half-True,Jonah Goldberg,"Homeopathy, acupuncture and aromatherapy ""have been given elevated legitimacy under the Affordable Care Act."""
772,"on Monday, February 23rd, 2015",Have you heard of Seychelles?,/punditfact/statements/2015/feb/23/john-legend/fact-checking-john-legends-claim-we-live-most-inca/,— PunditFact,Mostly True,John Legend,"""We live in the most incarcerated country in the world."""
773,"on Monday, February 23rd, 2015",Claim is exceptionally wrong,/punditfact/statements/2015/feb/23/rudy-giuliani/rudy-giuliani-barack-obama-said-american-exception/,— PunditFact,False,Rudy Giuliani,"Says President Barack Obama said ""that American exceptionalism is no more exceptional than the exceptionalism of any other country."""
774,"on Thursday, February 19th, 2015","A picture in need of 1,000 words",/punditfact/statements/2015/feb/19/cnn/truth-about-isis-using-nutella-kittens-and-emoji-l/,— PunditFact,Mostly False,CNN,"""ISIS lures women with kittens, nutella."""
775,"on Thursday, February 19th, 2015","Yes, but not all come from ISIS HQ",/punditfact/statements/2015/feb/19/hillary-mann-leverett/cnn-expert-islamic-state-posts-90000-social-media-/,— PunditFact,Mostly True,Hillary Mann Leverett,"ISIS sends out ""90,000 social (media) messages a day."""
776,"on Tuesday, February 17th, 2015",An old claim a reader asked us to look into,/punditfact/statements/2015/feb/17/laura-ingraham/ingraham-says-sotomayor-comes-immigrant-family/,— PunditFact,Mostly False,Laura Ingraham,"Says Supreme Court Justice Sonia Sotomayor has an ""immigrant family background."""
